,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
1995,2022-05-10,2,23500,950,6 out of 8,Super Area,Bilekahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
1497,2022-06-23,2,10500,800,3 out of 4,Super Area,Nagappa Reddy layout-Dooravani Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2763,2022-06-13,1,19000,545,2 out of 3,Super Area,Dwarka,Delhi,Furnished,Bachelors/Family,1,Contact Owner
1351,2022-07-07,1,20000,465,3 out of 4,Super Area,in Borivali East,Mumbai,Semi-Furnished,Bachelors,1,Contact Owner
1862,2022-07-04,2,17000,900,4 out of 5,Super Area,Bhuvaneswari Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
4283,2022-07-08,2,25000,1250,Ground out of 6,Super Area,"Alkapur Township, Manikonda, Outer Ring Road",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
1703,2022-07-07,3,31000,1757,9 out of 10,Super Area,"Jalahalli, Jalahalli, Outer Ring Road",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
759,2022-05-05,2,35000,850,3 out of 6,Super Area,Malad West,Mumbai,Semi-Furnished,Family,2,Contact Owner
2213,2022-06-16,3,180000,2500,4 out of 8,Carpet Area,Mahatma Gandhi Road,Bangalore,Unfurnished,Bachelors,3,Contact Agent
1743,2022-06-27,3,45000,1600,1 out of 4,Carpet Area,Malleshwaram,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
1293,2022-05-24,2,80000,836,6 out of 23,Carpet Area,"TATA Falcon Crest, Parel",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2622,2022-05-05,1,14000,60,3 out of 4,Super Area,"Paryavaran Complex, Sainik Farm",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
3652,2022-05-20,2,15000,950,1 out of 2,Super Area,"Neelankarai, E Coast Road",Chennai,Semi-Furnished,Family,1,Contact Owner
4380,2022-05-17,3,40000,1960,13 out of 25,Super Area,"Nallagandla, Serilingampally",Hyderabad,Unfurnished,Bachelors,3,Contact Agent
2114,2022-06-04,2,8500,650,8 out of 8,Carpet Area,Attibele,Bangalore,Furnished,Family,2,Contact Owner
450,2022-06-20,1,4000,350,1 out of 1,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
3041,2022-05-29,3,150000,2300,11 out of 18,Carpet Area,"Adyar, Sardar Patel Road",Chennai,Semi-Furnished,Bachelors,3,Contact Agent
4084,2022-07-06,1,6500,350,2 out of 4,Super Area,Langar Houz,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
4458,2022-07-05,1,9000,890,4 out of 5,Carpet Area,Ameenpur,Hyderabad,Semi-Furnished,Bachelors,1,Contact Owner
4654,2022-07-06,1,5000,450,1 out of 2,Super Area,Hydershakote,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
789,2022-07-09,3,170000,1150,8 out of 12,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
602,2022-07-06,3,70000,1150,7 out of 41,Carpet Area,"Kanakia Levels, Malad East",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
2201,2022-04-29,1,7500,460,3 out of 4,Super Area,Singahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2615,2022-06-18,3,30000,160,2 out of 4,Carpet Area,Surajmal Vihar,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
4039,2022-07-07,2,19800,1070,3 out of 4,Carpet Area,KPHB Road,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
4677,2022-05-04,2,7000,1200,1 out of 1,Super Area,Balapur,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
871,2022-07-09,3,200000,1350,1 out of 5,Carpet Area,Anand niwas,Mumbai,Furnished,Bachelors,3,Contact Agent
763,2022-05-31,2,53500,635,17 out of 20,Carpet Area,"Nahar Jonquille and Jamaica, Chandivali",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2651,2022-05-05,2,7000,500,2 out of 4,Super Area,Badarpur,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
4533,2022-05-07,2,7500,1350,Ground out of 1,Super Area,Rampally,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
3796,2022-07-05,4,80000,3000,1 out of 2,Carpet Area,"Egmore, PH Road",Chennai,Unfurnished,Bachelors,4,Contact Agent
1129,2022-06-14,2,50000,850,8 out of 10,Carpet Area,"Dsk Madhuban, Sakinaka Junction",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
254,2022-05-31,3,12000,1000,2 out of 2,Super Area,Dariya,Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Owner
937,2022-06-17,1,18000,225,18 out of 24,Carpet Area,Worli,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1835,2022-05-27,1,9000,450,2 out of 3,Super Area,Nandini Layout,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
511,2022-05-17,3,7000,900,1 out of 2,Super Area,"Michael Nagar, New Barrakpur",Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Owner
3832,2022-07-06,3,22000,1300,1 out of 3,Super Area,Jawahar Nagar,Chennai,Semi-Furnished,Family,3,Contact Owner
3629,2022-07-08,3,45000,1700,3 out of 3,Carpet Area,Gandhi Nagar Adyar,Chennai,Semi-Furnished,Bachelors,3,Contact Owner
73,2022-05-30,2,6500,700,Ground out of 2,Super Area,Bandel,Kolkata,Unfurnished,Bachelors,1,Contact Owner
1488,2022-07-06,2,78000,600,14 out of 22,Carpet Area,Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1210,2022-07-07,1,40000,500,13 out of 14,Super Area,"Manavsthal, Andheri East",Mumbai,Furnished,Bachelors/Family,2,Contact Owner
43,2022-04-30,2,8500,700,4 out of 14,Carpet Area,Baruipur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
3576,2022-07-10,3,25000,1200,9 out of 11,Carpet Area,"Chromepet, GST Road",Chennai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1643,2022-06-30,2,8000,600,1 out of 2,Super Area,Electronic City,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
3443,2022-05-31,3,20000,1200,1 out of 2,Carpet Area,Indira Colony,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
4348,2022-07-01,2,10000,1000,2 out of 3,Carpet Area,Rock Town Colony,Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner
599,2022-07-06,2,55000,696,13 out of 21,Carpet Area,Chandivali,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2313,2022-06-23,1,12500,600,3 out of 4,Super Area,Hbr Layout,Bangalore,Furnished,Bachelors/Family,1,Contact Owner
3473,2022-05-13,3,22000,1400,3 out of 4,Carpet Area,Chembarambakkam,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner
2067,2022-05-19,1,12500,500,Ground out of 3,Super Area,Seshadripuram,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2276,2022-06-13,3,17000,1100,1 out of 3,Carpet Area,Anjanapura,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
426,2022-06-23,1,5000,400,Ground out of 5,Carpet Area,Sonarpur,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
1482,2022-06-07,4,380000,2800,36 out of 81,Carpet Area,"World One Tower Mumbai, Worli",Mumbai,Unfurnished,Bachelors,5,Contact Agent
605,2022-05-18,2,42000,750,11 out of 21,Carpet Area,"RNA ROYALE PARK, Kandivali West",Mumbai,Unfurnished,Bachelors,2,Contact Agent
494,2022-06-17,2,6000,400,2 out of 3,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2757,2022-05-14,2,9000,450,1 out of 3,Super Area,"Shakarpur Khas, Shakarpur",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
351,2022-05-30,2,5500,650,1 out of 1,Carpet Area,Joka,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
3484,2022-06-25,2,26000,900,Ground out of 4,Super Area,Velachery,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
4164,2022-06-14,2,12500,1200,2 out of 6,Super Area,Mehdipatnam,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2194,2022-07-04,2,12000,1100,1 out of 3,Super Area,Arakere,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2123,2022-05-26,1,10000,500,Ground out of 3,Carpet Area,snv la,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
1044,2022-06-27,1,14000,270,6 out of 7,Carpet Area,Poisar,Mumbai,Unfurnished,Bachelors,1,Contact Owner
4729,2022-05-29,2,13000,1500,Ground out of 1,Carpet Area,"Saket, Secunderabad",Hyderabad,Unfurnished,Family,2,Contact Owner
4397,2022-06-02,2,10000,1285,2 out of 4,Super Area,"Malakpet, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
1800,2022-06-12,2,10000,600,4 out of 5,Super Area,Akshayanagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
2460,2022-05-18,1,5000,25,2 out of 5,Carpet Area,Ganga Vihar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
1448,2022-04-28,1,36000,540,2 out of 3,Super Area,in Mahim West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
810,2022-06-20,2,55000,850,3 out of 3,Carpet Area,Mahim West,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
618,2022-07-04,3,84500,1150,10 out of 12,Carpet Area,Chembur East,Mumbai,Unfurnished,Family,3,Contact Agent
4226,2022-05-12,1,8500,450,Ground out of 1,Super Area,"Hafeezpet, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2789,2022-05-31,1,13000,550,3 out of 3,Carpet Area,Pitampura,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
1444,2022-07-04,1,22000,500,3 out of 4,Super Area,"Madhugiri Society, Chembur",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2841,2022-06-30,2,8000,600,4 out of 5,Super Area,Rohini Sector 7,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
3132,2022-06-14,3,90000,2300,2 out of 4,Carpet Area,Gopalapuram,Chennai,Semi-Furnished,Bachelors,3,Contact Agent
4412,2022-06-03,2,8500,1050,1 out of 2,Carpet Area,Hydershakote,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
1042,2022-06-28,4,330000,2000,11 out of 12,Carpet Area,Mehboob Studio,Mumbai,Semi-Furnished,Bachelors,5,Contact Agent
1777,2022-05-19,2,16000,1400,1 out of 2,Super Area,Hebbal,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
3114,2022-06-14,2,16000,1000,1 out of 3,Super Area,Kodambakkam,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
869,2022-06-28,2,170000,1000,5 out of 9,Carpet Area,Breach Candy,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2498,2022-06-12,2,14000,600,2 out of 4,Carpet Area,kst chattarpur Apartments,Delhi,Unfurnished,Bachelors,2,Contact Agent
1158,2022-05-22,2,38000,700,Upper Basement out of 22,Carpet Area,"Altavista, Chembur",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
356,2022-07-01,1,5200,300,Ground out of 3,Carpet Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2540,2022-07-04,1,16000,500,1 out of 4,Super Area,Laxmi Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
1264,2022-05-14,3,70000,1300,6 out of 30,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,3,Contact Agent
3887,2022-04-30,2,13000,1200,3 out of 4,Super Area,Attapur,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
1498,2022-07-04,2,13000,1000,Ground out of 4,Super Area,"Kattigenahalli, Bellary Road",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
3240,2022-06-05,1,8500,550,Ground out of 1,Carpet Area,"Arunachalam Nagar, Madipakkam",Chennai,Unfurnished,Bachelors,2,Contact Owner
1840,2022-06-16,2,30000,1025,2 out of 4,Carpet Area,Indira Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
3802,2022-05-25,2,10000,800,1 out of 2,Super Area,Ramapuram,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
3282,2022-07-08,1,11000,579,3 out of 4,Super Area,New Kumaran Nagar,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
332,2022-06-10,1,6500,400,1 out of 1,Super Area,"Vivek Nagar, Garfa",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1102,2022-06-12,2,85000,750,11 out of 27,Carpet Area,"Hiranandani Atlantis, Hiranandani Gardens",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2685,2022-05-05,2,17000,80,1 out of 4,Super Area,Mayur Vihar Phase 1 Extension,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
3349,2022-07-10,3,33000,1600,15 out of 16,Carpet Area,Iyyappanthangal,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Agent
3164,2022-05-15,3,17000,1400,10 out of 15,Super Area,Mambakkam,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1569,2022-07-04,2,20000,1105,1 out of 4,Super Area,"Electronics City Phase 1, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
3248,2022-05-06,2,10000,600,1 out of 2,Super Area,Ambattur,Chennai,Semi-Furnished,Family,1,Contact Owner
